canonical_name,unit,grams
청양고추,개,5
대파,대,70
대파,개,70
대파,뿌리,70
대파,줌,30
치즈,장,20
홍고추,개,10
오이,개,200
마늘,개,5
마늘,쪽,5
마늘,알,5
식빵,장,35
깻잎,장,2
애호박,개,250
베이컨,줄,15
표고버섯,개,20
고추,개,10
김,장,2
계란,알,50
팽이버섯,봉,150
피망,개,100
방울토마토,개,15
만두,개,25
부추,줌,30
양송이버섯,개,20
토마토,개,150
육수,개,3
육수,알,3
