term,category,in_expense,reason
생수,가공식품,true,식품(음용수) — 식비 포함(§7.7)
얼음,가공식품,true,식품 — 식비 포함(§7.7)
홍삼정,비식품,false,건강기능식품 — 식비 제외(§7.7)
