rank,head_noun,freq,cum_coverage_pct,in_item_master
1147,쇠고기샄코기,1,98.7,
1148,통후추부순것,1,98.7,
1149,물밤다진것,1,98.7,
1150,리치캔,1,98.8,
1151,새우다진것,1,98.8,
1152,생선육수,1,98.8,
1153,바비큐용,1,98.8,
1154,데미글라스,1,98.8,
1155,우스터소스,1,98.8,
1156,즙,1,98.8,
1157,혼다랑어가쓰오부시,1,98.8,
1158,레몬쥬스,1,98.8,
1159,딸기쨈,1,98.8,
1160,감귤,1,98.8,Y
1161,생이스트,1,98.9,
1162,T,1,98.9,
1163,C,1,98.9,
1164,분유,1,98.9,
1165,분말,1,98.9,
1166,골드,1,98.9,
1167,페스토,1,98.9,
1168,다이스,1,98.9,
1169,애플민트잎,1,98.9,
1170,쇠고기사태,1,98.9,
1171,속양파다진것,1,98.9,
1172,낫토,1,99.0,
1173,시래기불린것,1,99.0,
1174,새우살다진것,1,99.0,
1175,새송이벗서,1,99.0,
1176,그린비타민,1,99.0,
1177,훈제오리가슴살,1,99.0,
1178,가루녹차,1,99.0,
1179,대파채친것,1,99.0,
1180,양파채친것,1,99.0,
1181,피망채친것,1,99.0,
1182,브러컬리,1,99.0,
1183,홀그레인,1,99.1,
1184,로메인상추,1,99.1,
1185,빨간색/노란색,1,99.1,
1186,건함초,1,99.1,
1187,수란,1,99.1,
1188,김가루,1,99.1,
1189,팔각,1,99.1,
1190,병아리콩①,1,99.1,
1191,코코넛오일,1,99.1,
1192,유자필,1,99.1,
1193,감태가루,1,99.1,
1194,유자앙금,1,99.2,
1195,병아리콩②,1,99.2,
1196,검은콩튀밥,1,99.2,
1197,쌀튀밥,1,99.2,
1198,메닐튀밥,1,99.2,
1199,현미가루,1,99.2,
1200,흰깨,1,99.2,
1201,참마,1,99.2,
1202,슬라이스아몬드,1,99.2,
1203,건타임,1,99.2,
1204,칼국수면,1,99.2,
1205,피칸,1,99.3,
1206,클로렐라가루,1,99.3,
1207,아몬드우유,1,99.3,
1208,대추채,1,99.3,
1209,카카오닙스,1,99.3,
1210,카카오매스,1,99.3,
1211,다크초콜릿,1,99.3,
1212,허니머스터드소스,1,99.3,
1213,과메기,1,99.3,
1214,매실장아찌,1,99.3,
1215,줄기부분,1,99.3,
1216,모짜렐라,1,99.4,
1217,부위,1,99.4,
1218,깍두기,1,99.4,
1219,돼지등갈비,1,99.4,
1220,적포도주,1,99.4,
1221,오곡밥,1,99.4,
1222,누룽지가루,1,99.4,
1223,고추가루,1,99.4,
1224,건홍고추,1,99.4,
1225,맛살,1,99.4,
1226,느타리벗서,1,99.4,
1227,생선,1,99.5,
1228,쇠고기살코기,1,99.5,
1229,통아몬드,1,99.5,
1230,할라피뇨다진것,1,99.5,
1231,오릴브오일,1,99.5,
1232,물미역,1,99.5,
1233,생것,1,99.5,
1234,멍게살,1,99.5,
1235,키조개관자,1,99.5,
1236,곰피,1,99.5,
1237,피쉬소스,1,99.5,
1238,민들레,1,99.6,
1239,참취,1,99.6,
1240,거피들깨가루,1,99.6,
1241,풋마늘,1,99.6,
1242,건오징어,1,99.6,
1243,절편,1,99.6,
1244,거피녹두,1,99.6,
1245,진달래꽃,1,99.6,
1246,쇠고기안심,1,99.6,
1247,상추/로메인,1,99.6,
1248,앤쵸비,1,99.6,
1249,오레가노다진것,1,99.6,
1250,당근주스,1,99.7,
1251,타바스코,1,99.7,
1252,낙지다리,1,99.7,
1253,다진당근,1,99.7,
1254,다진애호박,1,99.7,
1255,붉은고추,1,99.7,
1256,머스터드조스,1,99.7,
1257,영콘,1,99.7,
1258,호이트와인,1,99.7,
1259,쳥양고추,1,99.7,
1260,불린것,1,99.7,
1261,카스텔라가루,1,99.8,
1262,쌀떡,1,99.8,
1263,현미휴,1,99.8,
1264,대추고,1,99.8,
1265,곤약미,1,99.8,
1266,크림,1,99.8,
1267,체리토마토,1,99.8,
1268,앤다이브,1,99.8,
1269,청고주,1,99.8,
1270,사과쥬스,1,99.8,
1271,청포도,1,99.8,
1272,두부작은것,1,99.9,
1273,월계수잎마른것,1,99.9,
1274,타임마른것,1,99.9,
1275,카엔페퍼,1,99.9,
1276,에벤탈치즈,1,99.9,
1277,로즈마리다진것,1,99.9,
1278,레몬그라스,1,99.9,
1279,파마산치즈가루,1,99.9,
1280,현미튀밥,1,99.9,
1281,쌀국수,1,99.9,
1282,얼음,1,99.9,
1283,당근갈은것,1,100.0,
1284,돼지호박갈은것,1,100.0,
1285,셀러리다진것,1,100.0,
1286,메이플시럽,1,100.0,
1287,물미지근한것,1,100.0,
1288,죽순통조림,1,100.0,
