canonical_name,density
간장,1.15
마늘,0.9
설탕,0.85
참기름,0.92
고춧가루,0.5
맛술,1.0
올리고당,1.3
고추장,1.15
소금,1.2
굴소스,1.2
통깨,0.6
식초,1.01
식용유,0.92
매실청,1.3
케첩,1.1
된장,1.1
마요네즈,0.91
물엿,1.4
밀가루,0.55
꿀,1.42
우유,1.03
생강,0.9
멸치액젓,1.1
올리브유,0.92
